fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"2503","189","91","206",206 San Bernabe - Punta De La Loma,Ctm - Feat,Periferica,NP,Panoramica,56.03,Limite Municipal
"2504","66","196",209B,209 Sur,Ctm Feat,Alimentadora,ZN,Panoramica,26.52,Limite Municipal
"2505","189","91","206",206 San Bernabe - Punta De La Loma,Ctm - Feat,Periferica,NP,Panoramica,56.03,Limite Municipal
"2506","191","117","214",214 Guadalupe San Pedro,Lazcano,Periferica,OTE,Panoramica,67.31,Limite Municipal
"2507","192","118",214S,214 Guadalupe San Pedro - Sauces,Lazcano,Periferica,OTE,Panoramica,69.82,Limite Municipal
"2508","203","39",17PX,17 Pio X,Lazcano,Radial,ZN,Panoramica,24.11,Limite Municipal
"2509","204","40",17S,17 Santuario,Lazcano,Radial,ZN,Panoramica,19.63,Limite Municipal
"2510","210","138",17A,17 Auditorio,Lazcano,Radial,ZN,Panoramico,32.22,Limite Municipal
"2511","216","154","86",86 Unidad Laboral,Ctm Feat,Radial,NO,Panoramica,35.43,Limite Municipal
"2512","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2513","95","208",116T,,,,,,0,Limite Municipal
"2514","101","214","226",,,,,,0,Limite Municipal
"2515","103","216","328",,,,,,0,Limite Municipal
"2516","118","235",108E,,,,,,0,Limite Municipal
"2517","119","236",108JM,,,,,,0,Limite Municipal
"2518","120","237",108C,,,,,,0,Limite Municipal
"2519","121","238",131C,,,,,,0,Limite Municipal
"2520","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2521","95","208",116T,,,,,,0,Limite Municipal
"2522","103","216","328",,,,,,0,Limite Municipal
"2523","111","225",326M,,,,,,0,Limite Municipal
"2524","112","226",326PG,,,,,,0,Limite Municipal
"2525","118","235",108E,,,,,,0,Limite Municipal
"2526","119","236",108JM,,,,,,0,Limite Municipal
"2527","121","238",131C,,,,,,0,Limite Municipal
"2528","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2529","95","208",116T,,,,,,0,Limite Municipal
"2530","103","216","328",,,,,,0,Limite Municipal
"2531","118","235",108E,,,,,,0,Limite Municipal
"2532","119","236",108JM,,,,,,0,Limite Municipal
"2533","120","237",108C,,,,,,0,Limite Municipal
"2534","121","238",131C,,,,,,0,Limite Municipal
"2535","122","239",131V,,,,,,0,Limite Municipal
"2536","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2537","95","208",116T,,,,,,0,Limite Municipal
"2538","111","225",326M,,,,,,0,Limite Municipal
"2539","112","226",326PG,,,,,,0,Limite Municipal
"2540","149","5",103VC,103 Centro,Ctm Feat,Complementaria,LRC,Panoramica,25.32,Limite Municipal
"2541","177","164","324",324 Carmen Romano,Ctm Feat,Microbus,NO,Midibus Panoramico,25.3,Limite Municipal
"2542","182","165","325",325 Fomerrey 11 - Matamoros,Ctm Feat,Midibus Panoramico,NO,Midibus Panoramico,23.15,Limite Municipal
"2543","215","153",117G,117 Guerrero,Ctm Feat,Radial,NO,Panoramica,32.82,Limite Municipal
"2544","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2545","95","208",116T,,,,,,0,Limite Municipal
"2546","111","225",326M,,,,,,0,Limite Municipal
"2547","112","226",326PG,,,,,,0,Limite Municipal
"2548","177","164","324",324 Carmen Romano,Ctm Feat,Microbus,NO,Midibus Panoramico,25.3,Limite Municipal
"2549","182","165","325",325 Fomerrey 11 - Matamoros,Ctm Feat,Midibus Panoramico,NO,Midibus Panoramico,23.15,Limite Municipal
"2550","215","153",117G,117 Guerrero,Ctm Feat,Radial,NO,Panoramica,32.82,Limite Municipal
"2551","223","163","77",77 Zaragoza,Ctm Gpe,Radial,OTE,Panoramica,36.27,Limite Municipal
